HUC6 Basin,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af)
Rio Grande Headwaters,Rio Grande Headwaters,5.4,5.5,"405,555"
,Alamosa-Trinchera,0,0.5,"68,916"
,San Luis,0,0.5,"42,448"
,Saguache,0,1.1,"80,492"
,Conejos,0,3.5,"141,290"
,Total,0,1.8,"738,702"
Upper Rio Grande,Upper Rio Grande,0,0.4,"75,207"
,Rio Chama,0,0.9,"148,912"
,Total,0,0.7,"224,118"
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,0,0,420
,Jemez,0,0,"1,601"
,Rio Grande-Albuquerque,0,0,0
,Arroyo Chico,0,0,0
,North Plains,0,0,0
,Rio San Jose,0,0,0
,Plains of San Agustin,0,0,0
,Rio Salado,0,0,0
,Jornada Del Muerto,0,0,0
,Elephant Butte Reservoir,0,0,0
,Rio Puerco,0,0,195
,Total,0,0,"2,216"
