HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),
Rio Grande Headwaters,Rio Grande Headwaters,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,,9000-10000',0,0.7,"9,865",
,,10000-11000',5.6,5.7,"125,119",
,,11000-12000',9.5,9.4,"205,773",
,,12000-13000',11.2,10.7,"63,896",
,,13000-14000',9.6,7.3,902,
,Alamosa-Trinchera,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,,9000-10000',0,0.1,"2,300",
,,10000-11000',1.6,2.4,"28,826",
,,11000-12000',3.5,3.9,"33,621",
,,12000-13000',1.2,2.2,"4,136",
,,13000-14000',0.4,0.4,32,
,San Luis,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,,9000-10000',0,0.2,"1,451",
,,10000-11000',1.1,2.3,"13,904",
,,11000-12000',3.5,3.9,"18,355",
,,12000-13000',2.3,3.4,"8,700",
,,13000-14000',0,0.6,37,
,Saguache,7000-8000',0,0,0,
,,8000-9000',0,0,64,
,,9000-10000',0.3,0.5,"8,754",
,,10000-11000',3,3.1,"38,151",
,,11000-12000',6.1,6,"28,056",
,,12000-13000',5.6,5.9,"5,443",
,,13000-14000',1.2,1.2,24,
,Conejos,7000-8000',0,0,0,
,,8000-9000',0,0,51,
,,9000-10000',0,2.2,"23,513",
,,10000-11000',8.7,8.2,"77,310",
,,11000-12000',8.4,7.8,"38,153",
,,12000-13000',5.8,5.8,"2,263",
Upper Rio Grande,Upper Rio Grande,5000-6000',0,0,0,
,,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,149,
,,9000-10000',0,0.4,"9,252",
,,10000-11000',1.9,2.3,"37,924",
,,11000-12000',3.3,3.3,"26,167",
,,12000-13000',0.8,1.5,"1,715",
,Rio Chama,5000-6000',0,0,0,
,,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,"1,120",
,,9000-10000',0.6,2.4,"49,794",
,,10000-11000',8.4,8.1,"90,199",
,,11000-12000',9.6,9.3,"7,469",
,,12000-13000',8,8,330,
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,5000-6000',0,0,0,
,,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,,9000-10000',0,0,0,
,,10000-11000',1.4,1.4,353,
,,11000-12000',0.6,0.8,67,
,Jemez,5000-6000',0,0,0,
,,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,,9000-10000',0,0.2,"1,032",
,,10000-11000',0,0.6,569,
,Rio Grande-Albuquerque,4000-5000',0,0,0,
,,5000-6000',0,0,0,
,,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,,9000-10000',0,0,0,
,,10000-11000',0,0,0,
,Arroyo Chico,5000-6000',0,0,0,
,,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,,9000-10000',0,0,0,
,,10000-11000',0,0,0,
,North Plains,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,Rio San Jose,5000-6000',0,0,0,
,,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,,9000-10000',0,0,0,
,,10000-11000',0,0,0,
,Plains of San Agustin,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,,9000-10000',0,0,0,
,Rio Salado,4000-5000',0,0,0,
,,5000-6000',0,0,0,
,,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,,9000-10000',0,0,0,
,Jornada Del Muerto,4000-5000',0,0,0,
,,5000-6000',0,0,0,
,,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,Elephant Butte Reservoir,4000-5000',0,0,0,
,,5000-6000',0,0,0,
,,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,,9000-10000',0,0,0,
,,10000-11000',0,0,0,
,Rio Puerco,4000-5000',0,0,0,
,,5000-6000',0,0,0,
,,6000-7000',0,0,0,
,,7000-8000',0,0,0,
,,8000-9000',0,0,0,
,,9000-10000',0,0.1,60,
,,10000-11000',0,0.3,135,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
