HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),,"Volume Change since April 1, 2025 (af)  "
Rio Grande Headwaters,Rio Grande Headwaters,7000-8000',0,0,0,,0 
,,8000-9000',0,0,0,,441 
,,9000-10000',0,0.7,"9,865",,"5,484 "
,,10000-11000',5.6,5.7,"125,119",,"19,306 "
,,11000-12000',9.5,9.4,"205,773",,"23,377 "
,,12000-13000',11.2,10.7,"63,896",,"5,980 "
,,13000-14000',9.6,7.3,902,,119 
,Alamosa-Trinchera,7000-8000',0,0,0,,0 
,,8000-9000',0,0,0,,537 
,,9000-10000',0,0.1,"2,300",,"8,499 "
,,10000-11000',1.6,2.4,"28,826",,"9,351 "
,,11000-12000',3.5,3.9,"33,621",,"7,459 "
,,12000-13000',1.2,2.2,"4,136",,"1,579 "
,,13000-14000',0.4,0.4,32,,65 
,San Luis,7000-8000',0,0,0,,0 
,,8000-9000',0,0,0,,16 
,,9000-10000',0,0.2,"1,451",,"1,088 "
,,10000-11000',1.1,2.3,"13,904",,"3,287 "
,,11000-12000',3.5,3.9,"18,355",,"3,662 "
,,12000-13000',2.3,3.4,"8,700",,"2,796 "
,,13000-14000',0,0.6,37,,41 
,Saguache,7000-8000',0,0,0,,0 
,,8000-9000',0,0,64,,-23 
,,9000-10000',0.3,0.5,"8,754",,"4,171 "
,,10000-11000',3,3.1,"38,151",,"9,634 "
,,11000-12000',6.1,6,"28,056",,"5,316 "
,,12000-13000',5.6,5.9,"5,443",,"1,103 "
,,13000-14000',1.2,1.2,24,,20 
,Conejos,7000-8000',0,0,0,,0 
,,8000-9000',0,0,51,,189 
,,9000-10000',0,2.2,"23,513",,"3,709 "
,,10000-11000',8.7,8.2,"77,310",,"9,590 "
,,11000-12000',8.4,7.8,"38,153",,"5,942 "
,,12000-13000',5.8,5.8,"2,263",,470 
Upper Rio Grande,Upper Rio Grande,5000-6000',0,0,0,,0 
,,6000-7000',0,0,0,,0 
,,7000-8000',0,0,0,,0 
,,8000-9000',0,0,149,,328 
,,9000-10000',0,0.4,"9,252",,"4,659 "
,,10000-11000',1.9,2.3,"37,924",,"7,436 "
,,11000-12000',3.3,3.3,"26,167",,"6,880 "
,,12000-13000',0.8,1.5,"1,715",,"1,394 "
,Rio Chama,5000-6000',0,0,0,,0 
,,6000-7000',0,0,0,,0 
,,7000-8000',0,0,0,,231 
,,8000-9000',0,0,"1,120",,"2,508 "
,,9000-10000',0.6,2.4,"49,794",,"4,055 "
,,10000-11000',8.4,8.1,"90,199",,"7,994 "
,,11000-12000',9.6,9.3,"7,469",,874 
,,12000-13000',8,8,330,,49 
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,5000-6000',0,0,0,,0 
,,6000-7000',0,0,0,,9 
,,7000-8000',0,0,0,,"1,132 "
,,8000-9000',0,0,0,,"2,035 "
,,9000-10000',0,0,0,,511 
,,10000-11000',1.4,1.4,353,,21 
,,11000-12000',0.6,0.8,67,,-5 
,Jemez,5000-6000',0,0,0,,0 
,,6000-7000',0,0,0,,1 
,,7000-8000',0,0,0,,"1,116 "
,,8000-9000',0,0,0,,"6,831 "
,,9000-10000',0,0.2,"1,032",,"3,531 "
,,10000-11000',0,0.6,569,,"1,002 "
,Rio Grande-Albuquerque,4000-5000',0,0,0,,0 
,,5000-6000',0,0,0,,0 
,,6000-7000',0,0,0,,251 
,,7000-8000',0,0,0,,"4,141 "
,,8000-9000',0,0,0,,"2,057 "
,,9000-10000',0,0,0,,676 
,,10000-11000',0,0,0,,62 
,Arroyo Chico,5000-6000',0,0,0,,0 
,,6000-7000',0,0,0,,0 
,,7000-8000',0,0,0,,487 
,,8000-9000',0,0,0,,"1,465 "
,,9000-10000',0,0,0,,184 
,,10000-11000',0,0,0,,16 
,North Plains,6000-7000',0,0,0,,0 
,,7000-8000',0,0,0,,95 
,,8000-9000',0,0,0,,47 
,Rio San Jose,5000-6000',0,0,0,,0 
,,6000-7000',0,0,0,,1 
,,7000-8000',0,0,0,,"1,108 "
,,8000-9000',0,0,0,,"3,107 "
,,9000-10000',0,0,0,,998 
,,10000-11000',0,0,0,,285 
,Plains of San Agustin,6000-7000',0,0,0,,0 
,,7000-8000',0,0,0,,0 
,,8000-9000',0,0,0,,24 
,,9000-10000',0,0,0,,0 
,Rio Salado,4000-5000',0,0,0,,0 
,,5000-6000',0,0,0,,0 
,,6000-7000',0,0,0,,0 
,,7000-8000',0,0,0,,32 
,,8000-9000',0,0,0,,137 
,,9000-10000',0,0,0,,49 
,Jornada Del Muerto,4000-5000',0,0,0,,0 
,,5000-6000',0,0,0,,0 
,,6000-7000',0,0,0,,0 
,,7000-8000',0,0,0,,0 
,,8000-9000',0,0,0,,0 
,Elephant Butte Reservoir,4000-5000',0,0,0,,0 
,,5000-6000',0,0,0,,0 
,,6000-7000',0,0,0,,0 
,,7000-8000',0,0,0,,0 
,,8000-9000',0,0,0,,433 
,,9000-10000',0,0,0,,486 
,,10000-11000',0,0,0,,13 
,Rio Puerco,4000-5000',0,0,0,,0 
,,5000-6000',0,0,0,,0 
,,6000-7000',0,0,0,,3 
,,7000-8000',0,0,0,,"1,097 "
,,8000-9000',0,0,0,,"2,876 "
,,9000-10000',0,0.1,60,,"1,060 "
,,10000-11000',0,0.3,135,,656 
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
