HUC6 Basin,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 15, 2025 (af) "
Rio Grande Headwaters,Rio Grande Headwaters,2.2 ,3.9 ,"290,040 ","-24,546 "
,Alamosa-Trinchera,0.0 ,0.3 ,"40,702 ",931 
,San Luis,0.0 ,0.4 ,"30,949 ","3,815 "
,Saguache,0.0 ,0.5 ,"36,726 ","-3,108 "
,Conejos,0.0 ,2.4 ,"96,598 ","-10,531 "
,Total,0.0 ,1.2 ,"495,015 ","-33,438 "
Upper Rio Grande,Upper Rio Grande,0.0 ,0.3 ,"46,767 ","-1,290 "
,Rio Chama,0.0 ,0.4 ,"73,716 ","-11,677 "
,Total,0.0 ,0.4 ,"120,484 ","-12,966 "
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,0.0 ,0.0 ,"1,503 ","1,478 "
,Jemez,0.0 ,0.1 ,"2,880 ","2,775 "
,Rio Grande-Albuquerque,0.0 ,0.0 ,173 ,173 
,Arroyo Chico,0.0 ,0.0 ,18 ,18 
,North Plains,0.0 ,0.0 ,0 ,0 
,Rio San Jose,0.0 ,0.0 ,0 ,0 
,Plains of San Agustin,0.0 ,0.0 ,0 ,0 
,Rio Salado,0.0 ,0.0 ,0 ,0 
,Jornada Del Muerto,0.0 ,0.0 ,0 ,0 
,Elephant Butte Reservoir,0.0 ,0.0 ,0 ,0 
,Rio Puerco,0.0 ,0.0 ,645 ,644 
,Total,0.0 ,0.0 ,"5,219 ","5,088 "
