Subbasin Grouping,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 15, 2025 (af) "
Upper Rio Grande,Rio Grande Headwaters,2.2 ,3.9 ,"290,040 ","-24,546 "
,Saguache,0.0 ,0.5 ,"36,726 ","-3,108 "
,Conejos,0.0 ,2.4 ,"96,598 ","-10,531 "
,Total,0.1 ,2.3 ,"423,364 ","-38,185 "
Sangre de Cristo,San Luis,0.0 ,0.4 ,"30,949 ","3,815 "
,Alamosa-Trinchera,0.0 ,0.3 ,"40,702 ",931 
,Upper Rio Grande,0.0 ,0.3 ,"46,767 ","-1,290 "
,Total,0.0 ,0.3 ,"118,418 ","3,457 "
Rio Chama,,0.0 ,0.4 ,"73,716 ","-11,677 "
Jemez,,0.0 ,0.1 ,"2,880 ","2,775 "
