HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 29, 2025 (af)  "
Rio Grande Headwaters,Rio Grande Headwaters,7000-8000',0.0 ,0.0 ,11 ,11 
,,8000-9000',0.1 ,0.1 ,"1,205 ","1,205 "
,,9000-10000',0.4 ,0.4 ,"5,253 ","4,504 "
,,10000-11000',0.6 ,1.4 ,"29,895 ",-894 
,,11000-12000',3.2 ,3.4 ,"73,511 ","-26,461 "
,,12000-13000',3.6 ,3.7 ,"22,128 ","-10,311 "
,,13000-14000',2.9 ,2.5 ,306 ,-130 
,Alamosa-Trinchera,7000-8000',0.0 ,0.0 ,"1,578 ","1,578 "
,,8000-9000',0.5 ,0.5 ,"17,389 ","17,389 "
,,9000-10000',0.9 ,0.9 ,"18,190 ","18,169 "
,,10000-11000',1.0 ,1.1 ,"13,189 ","11,441 "
,,11000-12000',1.5 ,2.0 ,"17,391 ","8,357 "
,,12000-13000',2.2 ,2.4 ,"4,419 ","2,742 "
,,13000-14000',1.8 ,1.8 ,148 ,144 
,San Luis,7000-8000',0.0 ,0.0 ,17 ,17 
,,8000-9000',0.1 ,0.2 ,"1,832 ","1,832 "
,,9000-10000',0.4 ,0.5 ,"3,890 ","3,805 "
,,10000-11000',0.7 ,0.9 ,"5,287 ","3,512 "
,,11000-12000',0.8 ,1.5 ,"7,129 ",294 
,,12000-13000',1.2 ,2.0 ,"5,247 ",-980 
,,13000-14000',0.9 ,0.9 ,58 ,32 
,Saguache,7000-8000',0.0 ,0.0 ,10 ,10 
,,8000-9000',0.1 ,0.1 ,"2,104 ","2,104 "
,,9000-10000',0.4 ,0.4 ,"6,735 ","6,405 "
,,10000-11000',0.6 ,0.7 ,"8,187 ","5,218 "
,,11000-12000',1.2 ,1.6 ,"7,482 ","-1,008 "
,,12000-13000',2.2 ,2.4 ,"2,216 ",-96 
,,13000-14000',0.8 ,0.8 ,17 ,17 
,Conejos,7000-8000',0.0 ,0.0 ,72 ,72 
,,8000-9000',0.7 ,0.7 ,"5,843 ","5,837 "
,,9000-10000',1.1 ,1.2 ,"12,560 ","11,441 "
,,10000-11000',1.4 ,2.4 ,"23,137 ","5,816 "
,,11000-12000',5.1 ,4.8 ,"23,491 ","1,941 "
,,12000-13000',3.5 ,3.7 ,"1,438 ",195 
Upper Rio Grande,Upper Rio Grande,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,19 ,19 
,,7000-8000',0.0 ,0.0 ,"2,558 ","2,558 "
,,8000-9000',0.6 ,0.6 ,"18,225 ","18,197 "
,,9000-10000',1.4 ,1.4 ,"35,820 ","35,505 "
,,10000-11000',1.8 ,2.2 ,"36,052 ","30,444 "
,,11000-12000',3.3 ,5.7 ,"44,643 ","17,176 "
,,12000-13000',4.1 ,5.8 ,"6,857 ","2,861 "
,Rio Chama,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.1 ,"4,890 ","4,890 "
,,8000-9000',0.7 ,0.8 ,"26,030 ","25,899 "
,,9000-10000',1.5 ,1.5 ,"31,611 ","29,355 "
,,10000-11000',1.7 ,2.7 ,"30,751 ","13,234 "
,,11000-12000',7.1 ,6.9 ,"5,535 ",599 
,,12000-13000',7.6 ,7.6 ,315 ,36 
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,84 ,84 
,,8000-9000',0.1 ,0.1 ,684 ,684 
,,9000-10000',0.9 ,0.9 ,"1,032 ","1,032 "
,,10000-11000',1.8 ,1.7 ,418 ,418 
,,11000-12000',2.1 ,2.1 ,174 ,174 
,Jemez,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,2 ,2 
,,8000-9000',0.1 ,0.1 ,"2,181 ","2,181 "
,,9000-10000',0.7 ,0.9 ,"4,971 ","4,971 "
,,10000-11000',1.3 ,1.4 ,"1,368 ","1,368 "
,Rio Grande-Albuquerque,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,4 ,4 
,,8000-9000',0.0 ,0.0 ,19 ,19 
,,9000-10000',0.0 ,0.0 ,6 ,6 
,,10000-11000',0.0 ,0.0 ,0 ,0 
,Arroyo Chico,5000-6000',0.0 ,0.0 ,0 ,0 
