HUC6 Basin,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since May 20, 2025 (af) "
Rio Grande Headwaters,Rio Grande Headwaters,0.0 ,0.1 ,"6,460 ","-29,103 "
,Alamosa-Trinchera,0.0 ,0.0 ,674 ,"-8,105 "
,San Luis,0.0 ,0.0 ,"1,343 ","-4,247 "
,Saguache,0.0 ,0.0 ,162 ,"-1,751 "
,Conejos,0.0 ,0.1 ,"2,123 ","-17,978 "
,Total,0.0 ,0.0 ,"10,763 ","-61,184 "
Upper Rio Grande,Upper Rio Grande,0.0 ,0.1 ,"19,875 ","-20,105 "
,Rio Chama,0.0 ,0.0 ,"1,321 ","-10,420 "
,Total,0.0 ,0.1 ,"21,196 ","-30,525 "
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,0.0 ,0.0 ,9 ,-179 
,Jemez,0.0 ,0.0 ,0 ,0 
,Rio Grande-Albuquerque,0.0 ,0.0 ,0 ,0 
,Arroyo Chico,0.0 ,0.0 ,0 ,-2 
,North Plains,0.0 ,0.0 ,0 ,0 
,Rio San Jose,0.0 ,0.0 ,0 ,-40 
,Plains of San Agustin,0.0 ,0.0 ,0 ,0 
,Rio Salado,0.0 ,0.0 ,0 ,0 
,Jornada Del Muerto,0.0 ,0.0 ,0 ,0 
,Elephant Butte Reservoir,0.0 ,0.0 ,0 ,0 
,Rio Puerco,0.0 ,0.0 ,0 ,0 
,Total,0.0 ,0.0 ,9 ,-221 
