Subbasin Grouping,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since May 20, 2025 (af) "
Upper Rio Grande,Rio Grande Headwaters,0.0 ,0.1 ,"6,460 ","-29,103 "
,Saguache,0.0 ,0.0 ,162 ,"-1,751 "
,Conejos,0.0 ,0.1 ,"2,123 ","-17,978 "
,Total,0.0 ,0.0 ,"8,746 ","-48,832 "
Sangre de Cristo,San Luis,0.0 ,0.0 ,"1,343 ","-4,247 "
,Alamosa-Trinchera,0.0 ,0.0 ,674 ,"-8,105 "
,Upper Rio Grande,0.0 ,0.1 ,"19,875 ","-20,105 "
,Total,0.0 ,0.1 ,"21,892 ","-32,457 "
Rio Chama,,0.0 ,0.0 ,"1,321 ","-10,420 "
Jemez,,0.0 ,0.0 ,0 ,0 
