HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since May 20, 2025 (af)  "
Rio Grande Headwaters,Rio Grande Headwaters,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,-298 
,,10000-11000',0.0 ,0.1 ,"1,491 ","-5,891 "
,,11000-12000',0.0 ,0.2 ,"4,372 ","-17,041 "
,,12000-13000',0.0 ,0.1 ,580 ,"-5,769 "
,,13000-14000',0.0 ,0.1 ,18 ,-104 
,Alamosa-Trinchera,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-17 
,,9000-10000',0.0 ,0.0 ,0 ,"-1,090 "
,,10000-11000',0.0 ,0.0 ,0 ,"-1,398 "
,,11000-12000',0.0 ,0.0 ,227 ,"-3,874 "
,,12000-13000',0.0 ,0.2 ,426 ,"-1,628 "
,,13000-14000',0.0 ,0.3 ,21 ,-97 
,San Luis,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,-2 
,,10000-11000',0.0 ,0.0 ,21 ,-407 
,,11000-12000',0.0 ,0.1 ,327 ,"-1,805 "
,,12000-13000',0.0 ,0.4 ,994 ,"-2,016 "
,,13000-14000',0.0 ,0.0 ,2 ,-18 
,Saguache,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,-10 
,,10000-11000',0.0 ,0.0 ,3 ,-395 
,,11000-12000',0.0 ,0.0 ,81 ,-734 
,,12000-13000',0.0 ,0.1 ,77 ,-613 
,,13000-14000',0.0 ,0.0 ,1 ,0 
,Conejos,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-14 
,,9000-10000',0.0 ,0.0 ,0 ,-817 
,,10000-11000',0.0 ,0.1 ,497 ,"-5,499 "
,,11000-12000',0.0 ,0.3 ,"1,415 ","-10,836 "
,,12000-13000',0.0 ,0.5 ,211 ,-812 
Upper Rio Grande,Upper Rio Grande,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-2 
,,9000-10000',0.0 ,0.0 ,0 ,-276 
,,10000-11000',0.0 ,0.1 ,887 ,"-3,286 "
,,11000-12000',0.1 ,2.1 ,"16,387 ","-13,674 "
,,12000-13000',0.2 ,2.2 ,"2,602 ","-2,867 "
,Rio Chama,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-206 
,,9000-10000',0.0 ,0.0 ,0 ,"-2,379 "
,,10000-11000',0.0 ,0.0 ,541 ,"-4,875 "
,,11000-12000',0.0 ,0.8 ,659 ,"-2,799 "
,,12000-13000',2.9 ,2.9 ,121 ,-161 
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,2 ,-62 
,,11000-12000',0.1 ,0.1 ,7 ,-118 
,Jemez,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,0 
,Rio Grande-Albuquerque,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,0 
,Arroyo Chico,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-1 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,-1 
,North Plains,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,Rio San Jose,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,-18 
,,10000-11000',0.0 ,0.0 ,0 ,-22 
,Plains of San Agustin,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,Rio Salado,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,Jornada Del Muerto,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,Elephant Butte Reservoir,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,0 
,Rio Puerco,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,0 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
